prompt,Data_address,Label,Related
"A supermarket needs to allocate various products, including high-demand items like the Sony Alpha Refrigerator, Sony Bravia XR, and Sony PlayStation 5, across different retail shelves. The product values and space requirements are provided in the ""Products.csv"" dataset. Additionally, the store has multiple shelves, each with a total space limit and specific space constraints for Sony and Apple products, as outlined in the ""Capacity.csv"" file. The goal is to determine the optimal number of units of each Sony product to place on each shelf to maximize total value while ensuring that the space used by Sony products on each shelf does not exceed the brand-specific limits. The decision variables x_ij represent the number of units of product i to be placed on shelf j.
","Large_Scale_Or_Files/RA_example/capacity.csv
Large_Scale_Or_Files/RA_example/products.csv
","
##### Objective Function: 

$\quad \quad \max \sum_i \sum_j p_i \cdot x_{ij}$

##### Constraints

###### 1. Capacity Constraints: 

$\quad \quad \sum_i a_i x_{ij} \leq c_j, \quad \forall j$

###### 2. Non-negativity Constraints: 

$\quad \quad  x_{ij} \geq 0, \quad \forall i,j $

###### Retrieved Information
p = [1818, 1609, 509, 1808, 528]

a = [400, 200, 40, 60, 50]
c = [1200, 1374, 800, 2042, 1000, 1800]
","Sony
"
"There is a small dairy that needs to stock up on a variety of milk product every day. For each product, we have an expected profit, which can be found in 'products.csv'. However, the store has a limited storage capacity, see 'capacity.csv' for details. Also, if the first product has been ordered, then the third product must be ordered as well. Therefore, we have to decide which type of milk product to order each day in order to maximize the expected total profit without exceeding the capacity limit. The decision variable x i represents the quantity of the ith milk product ordered each day.","Large_Scale_Or_Files/RA_example/capacity2.csv
Large_Scale_Or_Files/RA_example/products2.csv
","
##### Objective Function: 

$\quad \quad \max \sum_i \sum_j p_i \cdot x_{i}$

##### Constraints

###### 1. Capacity Constraints: 

$\quad \quad \sum_i a_i \cdot x_i \leq 180 $

###### 2. Dependency Constraints:

$x_1 \leq x_3$

###### 3. Non-negativity Constraints: 

$x_{i} \geq 0, \quad \forall i $

###### Retrieved Information
$\small  p = [888, 134, 129, 370, 921, 765, 154, 837, 584, 365] $
$\small a = [4, 2, 4, 3, 2, 1, 2, 1, 3, 3]$",
A 24-hour bus service requires staffing drivers and attendants for six daily shifts as specified in shift_requirements.csv. Each worker starts at the beginning of a shift and works 8 consecutive hours. Determine the minimum number of workers needed to meet all shift requirements while ensuring continuous coverage.,Large_Scale_Or_Files/Other_example/model1/shift_requirements.csv,"#### Decision Variables
- $x_i$: Number of workers starting at shift $i$ ($i=1,\dots,6$)

#### Objective Function
Minimize total workers: 
$\quad \quad \min \ x_1 + x_2 + x_3 + x_4 + x_5 + x_6$

#### Constraints
**1. Shift 1 Coverage (6:00-10:00)** 
$\quad \quad x_1 + x_6 \geq 60$ 

**2. Shift 2 Coverage (10:00-14:00)** 
$\quad \quad x_1 + x_2 \geq 70$ 

**3. Shift 3 Coverage (14:00-18:00)** 
$\quad \quad x_2 + x_3 \geq 60$ 

**4. Shift 4 Coverage (18:00-22:00)** 
$\quad \quad x_3 + x_4 \geq 50$ 

**5. Shift 5 Coverage (22:00-2:00)** 
$\quad \quad x_4 + x_5 \geq 50$ 

**6. Shift 6 Coverage (2:00-6:00)** 
$\quad \quad x_5 + x_6 \geq 20$ 

**7. Non-negativity** 
$\quad \quad x_i \geq 0 \quad \forall i \in \{1,2,3,4,5,6\}$",
"A consumer electronics factory operates an assembly line with three workstations producing two premium radio models: HiFi-1 and HiFi-2. The assembly times per unit at each station are shown in workstation_times.csv. Daily maintenance of workstation 1, workstation 2, and workstation 3 takes 10%, 14%, and 12% of the total available time of each workstation, and the maximum available time of each workstation is 480 minutes a day. Determine the optimal production mix to minimize total idle time across all workstations while respecting maintenance schedules.",Large_Scale_Or_Files/Other_example/model4/workstation_times.csv,"#### Decision Variables
- $x_1$: Units of HiFi-1 to produce
- $x_2$: Units of HiFi-2 to produce

#### Objective Function
Minimize total idle time: 
$\quad \quad \min \ 1267.2 - (15x_1 + 15x_2)$ 
*(Equivalent to maximizing $15x_1 + 15x_2$)*

#### Constraints
**1. Workstation 1 Capacity** 
$\quad \quad 6x_1 + 4x_2 \leq 432$ 

**2. Workstation 2 Capacity** 
$\quad \quad 5x_1 + 5x_2 \leq 412.8$ 

**3. Workstation 3 Capacity** 
$\quad \quad 4x_1 + 6x_2 \leq 422.4$ 

**4. Non-negativity** 
$\quad \quad x_1 \geq 0, x_2 \geq 0$",
"A precision manufacturing facility produces three aerospace-grade widgets: WidgetA, WidgetB, and WidgetC. The product_resources.csv file details the essential production parameters for each widget, specifying the labor hours required per unit, the amounts of Material A and Material B consumed per unit, and the base profit generated per unit sold. During the manufacturing process, WidgetC generate CatalystX as a valuable byproduct at a rate of 5kg per unit produced. This CatalystX has significant market value and can be sold to pharmaceutical partners at $300 per kilogram, though monthly sales are capped at 150kg due to market demand limitations. Any unsold CatalystX requires specialized hazardous waste disposal costing $200 per kilogram to comply with environmental regulations. Critical production constraints are defined in the resource_limits.csv file: monthly labor hours cannot exceed 240 hours, Material A consumption is limited to 2,400kg, and Material B usage is capped at 1,500kg. The optimization challenge involves determining the ideal production quantities for each widget to maximize total profits","Large_Scale_Or_Files/Other_example/model5/resource_limits.csv
Large_Scale_Or_Files/Other_example/model5/product_resources.csv","#### Decision Variables
- $x_A$: Units of WidgetA produced
- $x_B$: Units of WidgetB produced
- $x_C$: Units of WidgetC produced
- $s$: kg of CatalystX sold

#### Objective Function
Maximize total profit: 
$\quad \quad \max \ 525x_A + 678x_B + 812x_C + 300s - 200(5x_C - s)$

#### Constraints
**1. Labor Hours Constraint** 
$\quad \quad 1.6x_A + 2.0x_B + 2.5x_C \leq 240$ 

**2. Material A Constraint** 
$\quad \quad 24x_A + 20x_B + 12x_C \leq 2400$ 

**3. Material B Constraint** 
$\quad \quad 14x_A + 10x_B + 18x_C \leq 1500$ 

**4. CatalystX Sales Limit** 
$\quad \quad s \leq 150$ 

**5. CatalystX Generation Limit** 
$\quad \quad s \leq 5x_C$ 

**6. Non-negativity** 
$\quad \quad x_A \geq 0, x_B \geq 0, x_C \geq 0, s \geq 0$",
"The problem of mutual payment of wages is generated in the process of multi-party cooperation and mutual labor. Such as carpenters, electricians, painters and so on form a mutual aid group to complete the decoration work of each family together. Because the labor amount of different types of work is different, in order to balance the interests of all parties, it is necessary to calculate the standard of mutual pay wages. Three skilled tradespeople - a Carpenter, Electrician, and Painter - have agreed to exchange home renovation services. The work_days.csv file documents their work arrangement. Each row in the work_days.csv file shows how many days each specialist spent renovating the others' homes. Each worker contributed exactly 10 work days total across all projects, including their own home renovation. Carpenter's daily wage is 60.00 yuan. Determine daily wages of Electrician and Painter such that each worker's total income equals their total expenditure for work done at their home.",Large_Scale_Or_Files/Other_example/model6/work_days.csv,"#### Decision Variables
- $x$: Carpenter's daily wage (yuan)
- $y$: Electrician's daily wage (yuan)
- $z$: Painter's daily wage (yuan)

#### Constraints
**1. Carpenter's Balance** 
$\quad \quad -8x + y + 6z = 0$ 

**2. Electrician's Balance** 
$\quad \quad 4x -5y + z = 0$ 

**3. Painter's Balance** 
$\quad \quad 4x + 4y -7z = 0$ 

**4. Wage Bounds** 
$\quad \quad x = 60$",
"A fund manager holds a portfolio of 6 assets and is considering using 7 European option types for hedging. Each option's per-contract cost, delta, gamma, vega, and trading limits are given in OptionCharacteristics.csv. The underlying asset(s) each option refers to is given in Option_AssetReferenceMatrix.csv, with A[i,j]=1 if option i references asset j and 0 otherwise.

Variables: Let x_i be the integer number of contracts (positive for buy/long, negative for sell/short) for option i.

Objective: Minimize total hedging cost: sum_{i=1 to 7} Cost[i] * abs(x_i)

Subject to:

For each Greek G in {Delta, Gamma, Vega}, the net portfolio exposure after hedging must satisfy: |G_initial + sum_{i=1 to 7} sum_{j=1 to 6} G[i] * A[i,j] * x_i| \leq Tolerance_G Where: G_initial is the initial exposure for that Greek (given), G[i] is the per-contract Greek exposure of option i (from OptionCharacteristics.csv), A[i,j] is from Option_AssetReferenceMatrix.csv, Tolerance_G is the band for each risk metric (given).

x_i within its limits (from OptionCharacteristics.csv): MaxShort[i] \leq x_i \leq MaxLong[i]

Data provided:

OptionCharacteristics.csv: Option, referenced Asset, Cost, Delta, Gamma, Vega, MaxLong, MaxShort
Option_AssetReferenceMatrix.csv: binary matrix showing which option references which asset (A[i,j])
Initial net Delta=0.25, Gamma=0.08, Vega=0.17
Risk band tolerances: |Delta| \leq 0.06, |Gamma| \leq 0.05, |Vega| \leq 0.07
Task: Find the optimal integer position x_i for i=1..7 minimizing total cost, such that all risk exposures after hedging are within their bands, and using the asset-reference information in the constraints.","Large_Scale_Or_Files/Other_example/12/OptionCharacteristics.csv
Large_Scale_Or_Files/Other_example/12/Option_AssetReferenceMatrix.csv","**Variables:** 
- $x_i$: Integer number of contracts for option $i$, where $i = 1, \dots, 7$ 
- $z_i$: Auxiliary variable representing $|x_i|$, where $i = 1, \dots, 7$

**Objective Function:** 
Minimize total hedging cost: 
$$
\min \sum_{i=1}^{7} c_i \cdot z_i
$$
where $c_i$ is the cost per contract for option $i$.

Row sums: $S_i = \sum_{j=1}^6 A_{ij} = [1, 1, 1, 1, 1, 1, 1]$


**Constraints:** 

1. **Absolute Value Handling** (for $z_i = |x_i|$): 
$$
z_i \geq x_i \quad \forall\, i = 1, \dots, 7
$$
$$
z_i \geq -x_i \quad \forall\, i = 1, \dots, 7
$$

2. **Delta Exposure Constraint** (initial = 0.25, tolerance = 0.06): 
$$
-0.06 \leq 0.25 + \sum_{i=1}^{7} \delta_i S_i x_i \leq 0.06
$$

3. **Gamma Exposure Constraint** (initial = 0.08, tolerance = 0.05): 
$$
-0.05 \leq 0.08 + \sum_{i=1}^{7} \gamma_i S_i x_i \leq 0.05
$$

4. **Vega Exposure Constraint** (initial = 0.17, tolerance = 0.07): 
$$
-0.07 \leq 0.17 + \sum_{i=1}^{7} \nu_i S_i x_i \leq 0.07
$$

5. **Trading Limits:** 
$$
-10 \leq x_1 \leq 10
$$
$$
-8 \leq x_2 \leq 8
$$
$$
-7 \leq x_3 \leq 7
$$
$$
-12 \leq x_4 \leq 12
$$
$$
-9 \leq x_5 \leq 9
$$
$$
-7 \leq x_6 \leq 7
$$
$$
-6 \leq x_7 \leq 6
$$

**Data Vectors/Matrices:** 
- Cost vector: $$\mathbf{c} = [5, 7, 9, 4, 6, 8, 11]$$ 
- Delta vector: $$\boldsymbol{\delta} = [0.55,\, -0.45,\, 0.62,\, -0.38,\, 0.47,\, -0.41,\, 0.68]$$ 
- Gamma vector: $$\boldsymbol{\gamma} = [0.09,\, 0.04,\, 0.11,\, 0.03,\, 0.08,\, 0.06,\, 0.14]$$ 
- Vega vector: $$\boldsymbol{\nu} = [0.14,\, 0.09,\, 0.11,\, 0.08,\, 0.13,\, 0.15,\, 0.21]$$ 
- Trading bounds: 
- Lower bounds: $$\mathbf{l} = [-10, -8, -7, -12, -9, -7, -6]$$ 
- Upper bounds: $$\mathbf{u} = [10, 8, 7, 12, 9, 7, 6]$$ 

- Asset reference matrix:
$$
A = 
\begin{bmatrix}
1 & 0 & 0 & 0 & 0 & 0 \\
0 & 1 & 0 & 0 & 0 & 0 \\
0 & 0 & 1 & 0 & 0 & 0 \\
0 & 0 & 0 & 1 & 0 & 0 \\
0 & 0 & 0 & 0 & 1 & 0 \\
0 & 0 & 0 & 0 & 0 & 1 \\
0 & 1 & 0 & 0 & 0 & 0 \\
\end{bmatrix}
$$",
"A company operates two factories (Factory A and Factory B) which produce three types of products: P1, P2, and P3. Each product requires three types of resources: labor hours, machine hours, and raw material units. The company must decide how many units of each product to produce at each factory next week to maximize profit.

The resource requirements (per unit of product) for each product at each factory are given in Resource_Requirements.csv. The profit earned (in $) per unit of product at each factory is given in Profit_per_Unit.csv

Each factory has a limited weekly availability of each resource, as follows:

Factory A: 100 labor hours, 90 machine hours, 80 raw material units
Factory B: 80 labor hours, 100 machine hours, 90 raw material units
The goal is to determine how many units of P1, P2, and P3 to produce at each factory to maximize profit, without exceeding the resource limits in each factory.","Large_Scale_Or_Files/Other_example/13/Profit_per_Unit.csv
Large_Scale_Or_Files/Other_example/13/Resource_Requirements.csv","### Linear Programming Formulation: Factory Production Optimization

**Decision Variables:**
- $x_{A1}$: Units of P1 produced at Factory A 
- $x_{A2}$: Units of P2 produced at Factory A 
- $x_{A3}$: Units of P3 produced at Factory A 
- $x_{B1}$: Units of P1 produced at Factory B 
- $x_{B2}$: Units of P2 produced at Factory B 
- $x_{B3}$: Units of P3 produced at Factory B 

All variables are continuous and non-negative ($\geq 0$).

---

**Objective Function (Maximize Profit):**

$$
\max \quad 12x_{A1} + 16x_{A2} + 10x_{A3} + 15x_{B1} + 14x_{B2} + 11x_{B3}
$$

---

**Constraints:**

**Factory A Constraints:**
1. Labor: 
$$
2x_{A1} + 4x_{A2} + 3x_{A3} \leq 100
$$
2. Machine: 
$$
3x_{A1} + 2x_{A2} + 2x_{A3} \leq 90
$$
3. Material: 
$$
4x_{A1} + 3x_{A2} + 2x_{A3} \leq 80
$$

**Factory B Constraints:**
4. Labor: 
$$
x_{B1} + 2x_{B2} + 3x_{B3} \leq 80
$$
5. Machine: 
$$
4x_{B1} + 3x_{B2} + 2x_{B3} \leq 100
$$
6. Material: 
$$
3x_{B1} + 2x_{B2} + x_{B3} \leq 90
$$

**Non-negativity Constraints:**

$$
x_{A1},\ x_{A2},\ x_{A3},\ x_{B1},\ x_{B2},\ x_{B3} \geq 0
$$",
"You are a portfolio manager responsible for allocating a $1,000,000 budget among 10 different stocks to maximize the expected return after considering sector limits. You have access to data on expected returns and sector information in stock.csv, and sector membership for each stock in Sector_Mapping.csv. In addition, you are limited to pick at least 3 and at most 8 stocks, and no more than 27% of the budget can be invested in any one sector.","Large_Scale_Or_Files/Other_example/14/stock.csv
Large_Scale_Or_Files/Other_example/14/Sector_Mapping.csv","**Variables:**
- $x_i \geq 0$, $x_i \leq \text{MaxInvest}_i$, for $i = 1,\ldots,10$
where:
- $\text{MaxInvest}_1 = 250{,}000$
- $\text{MaxInvest}_2 = 200{,}000$
- $\text{MaxInvest}_3 = 180{,}000$
- $\text{MaxInvest}_4 = 240{,}000$
- $\text{MaxInvest}_5 = 220{,}000$
- $\text{MaxInvest}_6 = 150{,}000$
- $\text{MaxInvest}_7 = 130{,}000$
- $\text{MaxInvest}_8 = 120{,}000$
- $\text{MaxInvest}_9 = 110{,}000$
- $\text{MaxInvest}_{10} = 100{,}000$
- $y_i \in \{0,1\}$, for $i = 1,\ldots,10$

---

**Objective (Maximize):**
$$
Z = 0.082 x_1 + 0.073 x_2 + 0.065 x_3 + 0.089 x_4 + 0.076 x_5 + 0.091 x_6 + 0.084 x_7 + 0.068 x_8 + 0.079 x_9 + 0.087 x_{10}
$$

---

**Subject to:**

**Budget:**
$$
x_1 + x_2 + x_3 + x_4 + x_5 + x_6 + x_7 + x_8 + x_9 + x_{10} = 1{,}000{,}000
$$

**Max investment per stock:**
$$
x_1 \leq 250{,}000
$$
$$
x_2 \leq 200{,}000
$$
$$
x_3 \leq 180{,}000
$$
$$
x_4 \leq 240{,}000
$$
$$
x_5 \leq 220{,}000
$$
$$
x_6 \leq 150{,}000
$$
$$
x_7 \leq 130{,}000
$$
$$
x_8 \leq 120{,}000
$$
$$
x_9 \leq 110{,}000
$$
$$
x_{10} \leq 100{,}000
$$

**Cardinality:**
$$
3 \leq y_1 + y_2 + \cdots + y_{10} \leq 8
$$

**Linking Constraints:**
$$
x_i \leq y_i \cdot \text{MaxInvest}_i \quad \forall i=1,\ldots,10
$$

**Sector Allocations:**
$$
x_1 + x_3 + x_7 \leq 270{,}000
$$
$$
x_2 + x_5 + x_{10} \leq 270{,}000
$$
$$
x_4 + x_8 \leq 270{,}000
$$
$$
x_6 + x_9 \leq 270{,}000
$$

**Domain:**
$$
x_i \geq 0, \quad y_i \in \{0,1\}
$$",
"A financial institution wants to form a revenue-maximizing portfolio by investing in a selection of 10 structured financial products (e.g., CDOs, CLOs, MBS, etc.). Each product provides a specific expected revenue per unit invested, involves exposure to various risk factors (market, credit, interest rate, etc.), and is subject to upper limits on allocation in ProductCharacteristics_IndividualCaps.csv. The portfolio must satisfy regulatory risk exposure limits for 10 types of risk in RiskFactorLimits.csv, adhere to product-specific allocation caps, and meet a minimum investment guideline in each risk factor.

Your task:
Maximize expected portfolio revenue while satisfying the diversification/risk constraints and allocation bounds.","Large_Scale_Or_Files/Other_example/16/ProductCharacteristics_IndividualCaps.csv
Large_Scale_Or_Files/Other_example/16/RiskFactorLimits.csv","Let $\mathbf{x} = [x_1,x_2,\ldots,x_{10}]^\top$ be the vector of investment amounts (in million dollars). 
Let each constraint coefficient vector be $\mathbf{m}, \mathbf{c}, \mathbf{i}, \mathbf{f}, \mathbf{l}, \mathbf{r}, \mathbf{e}, \mathbf{v}, \mathbf{g}$ as defined below.

---

**Objective:**
$$
\text{Maximize} \quad Z = \mathbf{p} \cdot \mathbf{x} = \sum_{i=1}^{10} p_i x_i
$$
where $\mathbf{p} = [73,76,65,70,68,75,67,74,69,72]$.

---

**Subject to:**

**Total invested:**
$$
\sum_{i=1}^{10} x_i \leq 35
$$

**Box constraints:**
$$
\mathbf{0} \leq \mathbf{x} \leq \mathbf{u}
$$
where $\mathbf{u} = [12,8,10,9,7,11,8,10,9,12]$.

---

**Risk factor limits (all written as vector dot products):**

- Market Risk:
$$
\mathbf{m} \cdot \mathbf{x} \leq 42
$$
where $\mathbf{m} = [5.1,6.0,3.8,5.3,4.8,6.7,4.0,5.8,4.7,5.6]$

- Credit Risk:
$$
\mathbf{c} \cdot \mathbf{x} \leq 50
$$
where $\mathbf{c} = [6.2,7.1,5.7,6.4,6.1,6.5,5.8,6.3,6.0,6.6]$

- Interest Rate Risk:
$$
\mathbf{i} \cdot \mathbf{x} \leq 29
$$
where $\mathbf{i} = [3.4,3.8,2.9,3.2,3.1,4.1,3.0,3.7,3.3,3.5]$

- FX Risk:
$$
\mathbf{f} \cdot \mathbf{x} \leq 39
$$
where $\mathbf{f} = [4.2,4.6,3.4,4.8,4.0,5.1,3.7,4.9,4.1,4.5]$

- Liquidity Risk:
$$
\mathbf{l} \cdot \mathbf{x} \leq 25
$$
where $\mathbf{l} = [2.8,2.6,2.4,3.3,2.9,3.7,2.5,3.0,2.8,2.7]$

- IR Risk:
$$
\mathbf{r} \cdot \mathbf{x} \leq 49
$$
where $\mathbf{r} = [5.9,4.8,6.2,5.1,4.9,6.3,5.6,6.1,5.2,5.4]$

- Equity Risk:
$$
\mathbf{e} \cdot \mathbf{x} \leq 25
$$
where $\mathbf{e} = [2.7,2.5,2.2,2.6,2.3,3.0,2.4,2.9,2.7,2.8]$

- Volatility:
$$
\mathbf{v} \cdot \mathbf{x} \leq 36
$$
where $\mathbf{v} = [4.5,5.1,3.9,4.8,4.4,5.4,4.0,5.0,4.3,4.7]$

- Regulatory Risk:
$$
\mathbf{g} \cdot \mathbf{x} \leq 27
$$
where $\mathbf{g} = [2.2,3.0,2.7,2.5,2.4,3.3,2.6,3.2,2.3,2.8]$

---

**Domain:**
$$
x_i \geq 0 \quad \text{for all } i = 1, \ldots, 10
$$",
