Query,Data_address,Label,Related
A 24-hour bus service requires staffing drivers and attendants for six daily shifts as specified in shift_requirements.csv. Each worker starts at the beginning of a shift and works 8 consecutive hours. Determine the minimum number of workers needed to meet all shift requirements while ensuring continuous coverage.,Large_Scale_Or_Files/Other_example/model1/shift_requirements.csv,"#### Decision Variables
- $x_i$: Number of workers starting at shift $i$ ($i=1,\dots,6$)

#### Objective Function
Minimize total workers: 
$\quad \quad \min \ x_1 + x_2 + x_3 + x_4 + x_5 + x_6$

#### Constraints
**1. Shift 1 Coverage (6:00-10:00)** 
$\quad \quad x_1 + x_6 \geq 60$ 

**2. Shift 2 Coverage (10:00-14:00)** 
$\quad \quad x_1 + x_2 \geq 70$ 

**3. Shift 3 Coverage (14:00-18:00)** 
$\quad \quad x_2 + x_3 \geq 60$ 

**4. Shift 4 Coverage (18:00-22:00)** 
$\quad \quad x_3 + x_4 \geq 50$ 

**5. Shift 5 Coverage (22:00-2:00)** 
$\quad \quad x_4 + x_5 \geq 50$ 

**6. Shift 6 Coverage (2:00-6:00)** 
$\quad \quad x_5 + x_6 \geq 20$ 

**7. Non-negativity** 
$\quad \quad x_i \geq 0 \quad \forall i \in \{1,2,3,4,5,6\}$",
"A factory plans to produce two products (A and B) using three limited resources: steel, iron, and machine hours. The resource consumption per unit of product and profit margins are shown in production_data.csv. Determine the optimal production quantities to maximize total profit while respecting resource constraints.",Large_Scale_Or_Files/Other_example/model2/production_data.csv,"#### Decision Variables
- $x_1$: Quantity of Product A to produce
- $x_2$: Quantity of Product B to produce

#### Objective Function
Maximize total profit: 
$\quad \quad \max \ 80x_1 + 125x_2$

#### Constraints
**1. Steel Constraint** 
$\quad \quad 8x_1 + 5x_2 \leq 3500$ 

**2. Iron Constraint** 
$\quad \quad 6x_1 + 4x_2 \leq 1800$ 

**3. Machine Hours Constraint** 
$\quad \quad 4x_1 + 5x_2 \leq 2800$ 

**4. Non-negativity** 
$\quad \quad x_1 \geq 0, x_2 \geq 0$",
"A specialty chemical factory produces three premium products (A, B, C) by blending three raw materials (1, 2, 3). The factory supplies custom formulations to high-end manufacturers:

Product A is a precision industrial lubricant requiring _50% Material 1 and _25% Material 2
Product B is an aerospace-grade adhesive requiring _25% Material 1 and _50% Material 2
Product C is a general-purpose compound with no material restrictions
Raw material costs and availability are in raw_materials.csv, while product specifications and selling prices are in products.csv. Determine the optimal blending plan to maximize daily profit.","Large_Scale_Or_Files/Other_example/model3/products.csv
Large_Scale_Or_Files/Other_example/model3/raw_materials.csv","#### Decision Variables
- $x_{ij}$: kg of material $j$ used in product $i$ 
$i \in \{\text{A}, \text{B}, \text{C}\}, j \in \{1,2,3\}$

#### Objective Function
Maximize profit: 
$\quad \quad \max \ 60(x_{A1} + x_{A2} + x_{A3}) + 70(x_{B1} + x_{B2} + x_{B3}) + 60(x_{C1} + x_{C2} + x_{C3})$
$\quad \quad - 65(x_{A1} + x_{B1} + x_{C1}) - 25(x_{A2} + x_{B2} + x_{C2}) - 35(x_{A3} + x_{B3} + x_{C3})$

#### Constraints
**1. Material Availability** 
$\quad \quad x_{A1} + x_{B1} + x_{C1} \leq 100$ 
$\quad \quad x_{A2} + x_{B2} + x_{C2} \leq 100$ 
$\quad \quad x_{A3} + x_{B3} + x_{C3} \leq 60$ 

**2. Product A Specifications** 
$\quad \quad x_{A1} \geq 0.5(x_{A1} + x_{A2} + x_{A3})$ 
$\quad \quad x_{A2} \leq 0.25(x_{A1} + x_{A2} + x_{A3})$ 

**3. Product B Specifications** 
$\quad \quad x_{B1} \geq 0.25(x_{B1} + x_{B2} + x_{B3})$ 
$\quad \quad x_{B2} \leq 0.5(x_{B1} + x_{B2} + x_{B3})$ 

**4. Non-negativity** 
$\quad \quad x_{ij} \geq 0 \quad \forall i,j$",
"A consumer electronics factory operates an assembly line with three workstations producing two premium radio models: HiFi-1 and HiFi-2. The assembly times per unit at each station are shown in workstation_times.csv. Daily maintenance of workstation 1, workstation 2, and workstation 3 takes 10%, 14%, and 12% of the total available time of each workstation, and the maximum available time of each workstation is 480 minutes a day. Determine the optimal production mix to minimize total idle time across all workstations while respecting maintenance schedules.",Large_Scale_Or_Files/Other_example/model4/workstation_times.csv,"#### Decision Variables
- $x_1$: Units of HiFi-1 to produce
- $x_2$: Units of HiFi-2 to produce

#### Objective Function
Minimize total idle time: 
$\quad \quad \min \ 1267.2 - (15x_1 + 15x_2)$ 
*(Equivalent to maximizing $15x_1 + 15x_2$)*

#### Constraints
**1. Workstation 1 Capacity** 
$\quad \quad 6x_1 + 4x_2 \leq 432$ 

**2. Workstation 2 Capacity** 
$\quad \quad 5x_1 + 5x_2 \leq 412.8$ 

**3. Workstation 3 Capacity** 
$\quad \quad 4x_1 + 6x_2 \leq 422.4$ 

**4. Non-negativity** 
$\quad \quad x_1 \geq 0, x_2 \geq 0$",
"A precision manufacturing facility produces three aerospace-grade widgets: WidgetA, WidgetB, and WidgetC. The product_resources.csv file details the essential production parameters for each widget, specifying the labor hours required per unit, the amounts of Material A and Material B consumed per unit, and the base profit generated per unit sold. During the manufacturing process, WidgetC generate CatalystX as a valuable byproduct at a rate of 5kg per unit produced. This CatalystX has significant market value and can be sold to pharmaceutical partners at $300 per kilogram, though monthly sales are capped at 150kg due to market demand limitations. Any unsold CatalystX requires specialized hazardous waste disposal costing $200 per kilogram to comply with environmental regulations. Critical production constraints are defined in the resource_limits.csv file: monthly labor hours cannot exceed 240 hours, Material A consumption is limited to 2,400kg, and Material B usage is capped at 1,500kg. The optimization challenge involves determining the ideal production quantities for each widget to maximize total profits","Large_Scale_Or_Files/Other_example/model5/resource_limits.csv
Large_Scale_Or_Files/Other_example/model5/product_resources.csv","#### Decision Variables
- $x_A$: Units of WidgetA produced
- $x_B$: Units of WidgetB produced
- $x_C$: Units of WidgetC produced
- $s$: kg of CatalystX sold

#### Objective Function
Maximize total profit: 
$\quad \quad \max \ 525x_A + 678x_B + 812x_C + 300s - 200(5x_C - s)$

#### Constraints
**1. Labor Hours Constraint** 
$\quad \quad 1.6x_A + 2.0x_B + 2.5x_C \leq 240$ 

**2. Material A Constraint** 
$\quad \quad 24x_A + 20x_B + 12x_C \leq 2400$ 

**3. Material B Constraint** 
$\quad \quad 14x_A + 10x_B + 18x_C \leq 1500$ 

**4. CatalystX Sales Limit** 
$\quad \quad s \leq 150$ 

**5. CatalystX Generation Limit** 
$\quad \quad s \leq 5x_C$ 

**6. Non-negativity** 
$\quad \quad x_A \geq 0, x_B \geq 0, x_C \geq 0, s \geq 0$",
"The problem of mutual payment of wages is generated in the process of multi-party cooperation and mutual labor. Such as carpenters, electricians, painters and so on form a mutual aid group to complete the decoration work of each family together. Because the labor amount of different types of work is different, in order to balance the interests of all parties, it is necessary to calculate the standard of mutual pay wages. Three skilled tradespeople - a Carpenter, Electrician, and Painter - have agreed to exchange home renovation services. The work_days.csv file documents their work arrangement. Each row in the work_days.csv file shows how many days each specialist spent renovating the others' homes. Each worker contributed exactly 10 work days total across all projects, including their own home renovation. Carpenter's daily wage is 60.00 yuan. Determine daily wages of Electrician and Painter such that each worker's total income equals their total expenditure for work done at their home.",Large_Scale_Or_Files/Other_example/model6/work_days.csv,"#### Decision Variables
- $x$: Carpenter's daily wage (yuan)
- $y$: Electrician's daily wage (yuan)
- $z$: Painter's daily wage (yuan)

#### Constraints
**1. Carpenter's Balance** 
$\quad \quad -8x + y + 6z = 0$ 

**2. Electrician's Balance** 
$\quad \quad 4x -5y + z = 0$ 

**3. Painter's Balance** 
$\quad \quad 4x + 4y -7z = 0$ 

**4. Wage Bounds** 
$\quad \quad x = 60$",
"A closed economic system consists of three sectors: Coal, Power, and Steel. The input-output table in input_output_table.csv shows the distribution of each sector's output to the other sectors as proportions of total output. Determine equilibrium prices (if steel is 10000) for each sector such that the value of each sector's total output equals the value of all inputs it receives from other sectors.",Large_Scale_Or_Files/Other_example/model7/input_output_table.csv,"#### Decision Variables
- $x_1$: Price of Coal sector output (monetary units)
- $x_2$: Price of Power sector output (monetary units)
- $x_3$: Price of Steel sector output (monetary units)

#### Constraints
**1. Coal Sector Balance** 
$\quad \quad x_1 - 0.4x_2 - 0.6x_3 = 0$ 

**2. Power Sector Balance** 
$\quad \quad -0.6x_1 + 0.9x_2 - 0.2x_3 = 0$ 

**3. Steel Sector Balance** 
$\quad \quad -0.4x_1 - 0.5x_2 + 0.8x_3 = 0$ 

**4. Assumption Constraint** 
$\quad \quad x_3 = 10000$ 

**5. Non-negativity** 
$\quad \quad x_1 \geq 0, x_2 \geq 0, x_3 \geq 0$",
"Educational planners must be able to address the travel-time issue, while striving to satisfy other requirements. One approach to the problem is to consider racial balance, school capacity, and population of the school district as constraints, while striving to transport the children with as little inconvenience to them as possible . Suppose the Capital City School District has two elementary schools, with individual capacities in school_capacity.csv,there are three neighborhoods with the elementary school populations as summarized in neighborhoods_population.csv and the distance in miles from school to neighborhoods is in distance.csv. The district has decided to integrate by school rather than by grade level. A school will be considered to be in racial balance when it deviates by no more than 10 percent from the district ratio of 60 percent white and 40 percent nonwhite . The district wishes to devise a busing plan that will transport pupils to any school in the same racial ratio as their neighborhood and will minimize the distance the youngsters must travel.","Large_Scale_Or_Files/Other_example/11/school_capacity.csv
Large_Scale_Or_Files/Other_example/11/neighborhoods_population.csv
Large_Scale_Or_Files/Other_example/11/distance.csv","## School Assignment Linear Programming Formulation

### Sets and Indices
- $i = 1,2$: School index ($1=$ School I, $2=$ School II)
- $j = 1,2,3$: Neighborhood index ($1=$ A, $2=$ B, $3=$ C)

---

### Decision Variables

- $x_{ij}^w$: Number of white students assigned from neighborhood $j$ to school $i$
- $x_{ij}^{nw}$: Number of nonwhite students assigned from neighborhood $j$ to school $i$

---

### Objective Function

Minimize total transportation cost:
$$
\min \sum_{i=1}^2 \sum_{j=1}^3 d_{ij} \cdot \left( x_{ij}^w + x_{ij}^{nw} \right)
$$

---

### Constraints

**1. Assignment Constraints (All students from each neighborhood must be assigned):**
For each neighborhood $j$,
$$
\sum_{i=1}^2 x_{ij}^w = P_j^w, \qquad \sum_{i=1}^2 x_{ij}^{nw} = P_j^{nw} \qquad \forall j = 1,2,3
$$

**2. School Capacity Constraints (Total assigned students to each school cannot exceed its capacity):**
For each school $i$,
$$
\sum_{j=1}^3 (x_{ij}^w + x_{ij}^{nw}) \leq S_i \qquad \forall i = 1,2
$$

**3. Racial Balance Constraints (Each school��s white and nonwhite ratio must be within 10% of the district ratio):**

District ratio: 60% white, 40% nonwhite.

For each school $i$,
$$
0.5 \leq
\frac{\sum_{j=1}^3 x_{ij}^w}{\sum_{j=1}^3 (x_{ij}^w + x_{ij}^{nw})}
\leq 0.7 \qquad \forall i = 1,2
$$

**4. Nonnegativity:**
$$
x_{ij}^w \geq 0, \quad x_{ij}^{nw} \geq 0 \qquad \forall i = 1,2;\ j = 1,2,3
$$

---

### Data

**Neighborhood Populations**
- $P_1^w = 240$_$P_1^{nw} = 80$__(Neighborhood A)
- $P_2^w = 60$__$P_2^{nw} = 120$_(Neighborhood B)
- $P_3^w = 180$_$P_3^{nw} = 120$_(Neighborhood C)

**District Ratio** 
- White: 60%, Nonwhite: 40%

**School Capacities**
- $S_1 = 600$_(School I)
- $S_2 = 300$_(School II)

**Distances $d_{ij}$ (in miles)**
$$
\mathbf{D} =
\begin{bmatrix}
2.4 & 1.8 & 1.5 \\
1.6 & 4.0 & 0.0
\end{bmatrix}
$$
Where the rows correspond to School I and II, and columns to Neighborhoods A, B, and C.",
"A fund manager holds a portfolio of 6 assets and is considering using 7 European option types for hedging. Each option__ per-contract cost, delta, gamma, vega, and trading limits are given in OptionCharacteristics.csv. The underlying asset(s) each option refers to is given in Option_AssetReferenceMatrix.csv, with A[i,j]=1 if option i references asset j and 0 otherwise.

Variables: Let x_i be the integer number of contracts (positive for buy/long, negative for sell/short) for option i.

Objective: Minimize total hedging cost: sum_{i=1 to 7} Cost[i] * abs(x_i)

Subject to:

For each Greek G in {Delta, Gamma, Vega}, the net portfolio exposure after hedging must satisfy: |G_initial + sum_{i=1 to 7} sum_{j=1 to 6} G[i] * A[i,j] * x_i| \leq Tolerance_G Where: G_initial is the initial exposure for that Greek (given), G[i] is the per-contract Greek exposure of option i (from OptionCharacteristics.csv), A[i,j] is from Option_AssetReferenceMatrix.csv, Tolerance_G is the band for each risk metric (given).

x_i within its limits (from OptionCharacteristics.csv): MaxShort[i] \leq x_i \leq MaxLong[i]

Data provided:

OptionCharacteristics.csv: Option, referenced Asset, Cost, Delta, Gamma, Vega, MaxLong, MaxShort
Option_AssetReferenceMatrix.csv: binary matrix showing which option references which asset (A[i,j])
Initial net Delta=0.25, Gamma=0.08, Vega=0.17
Risk band tolerances: |Delta| \leq 0.06, |Gamma| \leq 0.05, |Vega| \leq 0.07
Task: Find the optimal integer position x_i for i=1..7 minimizing total cost, such that all risk exposures after hedging are within their bands, and using the asset-reference information in the constraints.","Large_Scale_Or_Files/Other_example/12/OptionCharacteristics.csv
Large_Scale_Or_Files/Other_example/12/Option_AssetReferenceMatrix.csv","**Variables:** 
- $x_i$: Integer number of contracts for option $i$, where $i = 1, \dots, 7$ 
- $z_i$: Auxiliary variable representing $|x_i|$, where $i = 1, \dots, 7$

**Objective Function:** 
Minimize total hedging cost: 
$$
\min \sum_{i=1}^{7} c_i \cdot z_i
$$
where $c_i$ is the cost per contract for option $i$.

Row sums: $S_i = \sum_{j=1}^6 A_{ij} = [1, 1, 1, 1, 1, 1, 1]$


**Constraints:** 

1. **Absolute Value Handling** (for $z_i = |x_i|$): 
$$
z_i \geq x_i \quad \forall\, i = 1, \dots, 7
$$
$$
z_i \geq -x_i \quad \forall\, i = 1, \dots, 7
$$

2. **Delta Exposure Constraint** (initial = 0.25, tolerance = 0.06): 
$$
-0.06 \leq 0.25 + \sum_{i=1}^{7} \delta_i S_i x_i \leq 0.06
$$

3. **Gamma Exposure Constraint** (initial = 0.08, tolerance = 0.05): 
$$
-0.05 \leq 0.08 + \sum_{i=1}^{7} \gamma_i S_i x_i \leq 0.05
$$

4. **Vega Exposure Constraint** (initial = 0.17, tolerance = 0.07): 
$$
-0.07 \leq 0.17 + \sum_{i=1}^{7} \nu_i S_i x_i \leq 0.07
$$

5. **Trading Limits:** 
$$
-10 \leq x_1 \leq 10
$$
$$
-8 \leq x_2 \leq 8
$$
$$
-7 \leq x_3 \leq 7
$$
$$
-12 \leq x_4 \leq 12
$$
$$
-9 \leq x_5 \leq 9
$$
$$
-7 \leq x_6 \leq 7
$$
$$
-6 \leq x_7 \leq 6
$$

**Data Vectors/Matrices:** 
- Cost vector: $$\mathbf{c} = [5, 7, 9, 4, 6, 8, 11]$$ 
- Delta vector: $$\boldsymbol{\delta} = [0.55,\, -0.45,\, 0.62,\, -0.38,\, 0.47,\, -0.41,\, 0.68]$$ 
- Gamma vector: $$\boldsymbol{\gamma} = [0.09,\, 0.04,\, 0.11,\, 0.03,\, 0.08,\, 0.06,\, 0.14]$$ 
- Vega vector: $$\boldsymbol{\nu} = [0.14,\, 0.09,\, 0.11,\, 0.08,\, 0.13,\, 0.15,\, 0.21]$$ 
- Trading bounds: 
- Lower bounds: $$\mathbf{l} = [-10, -8, -7, -12, -9, -7, -6]$$ 
- Upper bounds: $$\mathbf{u} = [10, 8, 7, 12, 9, 7, 6]$$ 

- Asset reference matrix:
$$
A = 
\begin{bmatrix}
1 & 0 & 0 & 0 & 0 & 0 \\
0 & 1 & 0 & 0 & 0 & 0 \\
0 & 0 & 1 & 0 & 0 & 0 \\
0 & 0 & 0 & 1 & 0 & 0 \\
0 & 0 & 0 & 0 & 1 & 0 \\
0 & 0 & 0 & 0 & 0 & 1 \\
0 & 1 & 0 & 0 & 0 & 0 \\
\end{bmatrix}
$$",
"A company operates two factories (Factory A and Factory B) which produce three types of products: P1, P2, and P3. Each product requires three types of resources: labor hours, machine hours, and raw material units. The company must decide how many units of each product to produce at each factory next week to maximize profit.

The resource requirements (per unit of product) for each product at each factory are given in Resource_Requirements.csv. The profit earned (in $) per unit of product at each factory is given in Profit_per_Unit.csv

Each factory has a limited weekly availability of each resource, as follows:

Factory A: 100 labor hours, 90 machine hours, 80 raw material units
Factory B: 80 labor hours, 100 machine hours, 90 raw material units
The goal is to determine how many units of P1, P2, and P3 to produce at each factory to maximize profit, without exceeding the resource limits in each factory.","Large_Scale_Or_Files/Other_example/13/Profit_per_Unit.csv
Large_Scale_Or_Files/Other_example/13/Resource_Requirements.csv","### Linear Programming Formulation: Factory Production Optimization

**Decision Variables:**
- $x_{A1}$: Units of P1 produced at Factory A 
- $x_{A2}$: Units of P2 produced at Factory A 
- $x_{A3}$: Units of P3 produced at Factory A 
- $x_{B1}$: Units of P1 produced at Factory B 
- $x_{B2}$: Units of P2 produced at Factory B 
- $x_{B3}$: Units of P3 produced at Factory B 

All variables are continuous and non-negative ($\geq 0$).

---

**Objective Function (Maximize Profit):**

$$
\max \quad 12x_{A1} + 16x_{A2} + 10x_{A3} + 15x_{B1} + 14x_{B2} + 11x_{B3}
$$

---

**Constraints:**

**Factory A Constraints:**
1. Labor: 
$$
2x_{A1} + 4x_{A2} + 3x_{A3} \leq 100
$$
2. Machine: 
$$
3x_{A1} + 2x_{A2} + 2x_{A3} \leq 90
$$
3. Material: 
$$
4x_{A1} + 3x_{A2} + 2x_{A3} \leq 80
$$

**Factory B Constraints:**
4. Labor: 
$$
x_{B1} + 2x_{B2} + 3x_{B3} \leq 80
$$
5. Machine: 
$$
4x_{B1} + 3x_{B2} + 2x_{B3} \leq 100
$$
6. Material: 
$$
3x_{B1} + 2x_{B2} + x_{B3} \leq 90
$$

**Non-negativity Constraints:**

$$
x_{A1},\ x_{A2},\ x_{A3},\ x_{B1},\ x_{B2},\ x_{B3} \geq 0
$$",
